# Sidewinder course roadmap — planned titles by track.
# Format: track | domain | title. Hundreds to thousands; the batch growth
# pipeline (levi sidewinder grow / stubs) turns these into corpus entries.
# Titles already built in the corpus are listed first in each section.

# == BUILD == (make it from scratch)
build | foundations | How mechanical advantage works: levers, wedges, and inclined planes
build | home | Build a chicken run
build | home | Build a rabbit hutch
build | home | Build a beehive stand
build | home | Build a bat house
build | home | Build a birdhouse
build | home | Build a bird feeder
build | home | Build a squirrel baffle
build | home | Build a mailbox post
build | home | Build a house-number plaque mount
build | home | Build a porch railing planter
build | home | Build an outdoor storage bench
build | home | Build a grill cart
build | home | Build a smoker from a barrel
build | home | Build a pizza oven base
build | home | Build a fire pit ring
build | home | Build a hammock stand
build | home | Build an Adirondack chair
build | home | Build a picnic table
build | home | Build a bench from a slab
build | home | Build a planter box
build | home | Build a vertical garden wall
build | home | Build a rain chain
build | home | Build a French drain
build | home | Build a dry creek bed
build | home | Build a retaining wall from block
build | home | Build a paver patio base
build | home | Build a walkway from stepping stones
build | home | Build a fence from scratch
build | home | Build a lattice privacy screen
build | home | Build a carport frame
build | home | Build a woodshed
build | home | Build a kayak rack
build | home | Build a canoe cart
build | home | Build a trailer deck
build | home | Build a loading ramp
build | home | Build a dock section
build | home | Build a treehouse platform
build | home | Build a zip-line anchor frame
build | home | Build a climbing wall frame
build | home | Build a skateboard ramp
build | home | Build a bike jump
build | home | Build a cornhole set
build | home | Build a horseshoe pit
build | home | Build a bocce court border
build | home | Build a tetherball pole
build | home | Build a volleyball net post set
build | home | Build a soccer goal
build | home | Build a batting cage frame
build | home | Build an archery target stand
build | home | Build a dartboard cabinet
build | home | Build a poker table top
build | home | Build a foosball table refurb frame
build | home | Build a pool cue rack
build | home | Build a bookshelf ladder
build | home | Build a rolling shop cart
build | home | Build a miter saw station
build | home | Build a router table
build | home | Build a downdraft sanding table
build | home | Build a clamp rack
build | home | Build a hand-tool till
build | home | Build a sharpening station
build | home | Build a finishing booth
build | home | Build a lumber drying stack
build | home | Build a dust-collection hood
build | home | Build an air-filtration box
build | home | Build a sound-dampening panel
build | home | Build a room-within-a-room vocal booth frame
build | home | Build a photography backdrop stand
build | home | Build a light tent for product photos
build | home | Build a standing desk converter
build | home | Build a monitor riser
build | home | Build a cable-management tray
build | home | Build a server rack from 2x4s
build | home | Build a battery charging station
build | home | Build a solar panel ground mount
build | home | Build a rainwater first-flush diverter
build | home | Build a greywater planter bed
build | home | Build a root cellar vent
build | home | Build a storm shelter supply rack
build | foundations | Build a beam compass for large arcs
build | foundations | Build a marking gauge from scrap
build | foundations | Build a try square and test it true
build | foundations | Build a winding stick pair
build | foundations | Build a sawbench
build | foundations | Build a shooting board for a hand plane
build | foundations | Build a bench hook
build | foundations | Build a mallet from a log
build | foundations | Build a shop apron

# == CREATE == (design new things)
create | general | Design the tool from the job backwards (the CREATE method)
create | general | Design a storage layout for a small workshop
create | general | Design a garden plan for a season
create | general | Design a rainwater catchment system
create | general | Design a home inventory system
create | general | Design a family emergency plan
create | general | Design a car emergency kit
create | general | Design a go-bag for 72 hours
create | general | Design a first-aid kit for your household
create | general | Design a tool kit for a new homeowner
create | general | Design a cleaning caddy system
create | general | Design a pantry inventory rotation
create | general | Design a meal-prep workflow
create | general | Design a budget you will actually follow
create | general | Design a filing system for household papers
create | general | Design a digital photo backup routine
create | general | Design a password system you can remember
create | general | Design a morning routine that sticks
create | general | Design a workout plan with no gym
create | general | Design a study system for a hard course
create | general | Design a reading habit
create | general | Design a garden watering schedule
create | general | Design a composting routine
create | general | Design a seasonal home-maintenance calendar
create | general | Design a vehicle maintenance log
create | general | Design a pet care schedule
create | general | Design a kids chore system
create | general | Design a roommate chore agreement
create | general | Design a neighborhood tool-share
create | general | Design a community garden plot plan
create | general | Design a block-party plan
create | general | Design a garage-sale pricing system
create | general | Design a moving-day plan
create | general | Design a packing system for a move
create | general | Design a home office in a closet
create | general | Design a homework station for kids
create | general | Design a craft corner in a small room
create | general | Design a reading nook
create | general | Design a guest-room kit
create | general | Design a power-outage kit
create | general | Design a winter car kit
create | general | Design a summer heat kit
create | general | Design a tornado shelter setup
create | general | Design a flood-prep checklist for your house
create | general | Design a wildfire defensible-space plan
create | general | Design an earthquake fastening plan
create | general | Design a home security walkthrough
create | general | Design a vacation home-watch routine
create | general | Design a key-hiding system that actually works
create | general | Design a safe combination protocol for family
create | general | Design a will-and-documents folder
create | general | Design a medical info card for your wallet
create | general | Design an allergy action plan for your home
create | general | Design a babysitter instruction sheet
create | general | Design a pet-sitter instruction sheet
create | general | Design a house-sitter checklist
create | general | Design a contractor interview checklist
create | general | Design a quote-comparison sheet for a project
create | general | Design a project punch list
create | general | Design a renovation budget tracker
create | general | Design a paint-color test routine
create | general | Design a furniture layout on paper first
create | general | Design lighting for a room
create | general | Design a gallery wall layout
create | general | Design a closet lighting upgrade plan
create | general | Design a smart-home starter plan
create | general | Design a Wi-Fi dead-zone fix plan
create | general | Design a home-network map
create | general | Design a backup-power priority list
create | general | Design a generator safety plan
create | general | Design a sump-pump backup plan
create | general | Design a frozen-pipe prevention plan
create | general | Design a roof-inspection routine
create | general | Design a gutter-cleaning schedule
create | general | Design a chimney-maintenance plan
create | general | Design a septic-tank care schedule
create | general | Design a well-water testing routine
create | general | Design a lawn-care calendar
create | general | Design a tree-pruning schedule
create | general | Design a pest-scouting routine
create | general | Design a pantry-pest prevention plan
create | general | Design a mouse-proofing walkthrough
create | general | Design a termite-watch routine
create | general | Design a mosquito-reduction plan for your yard
create | general | Design a tick-check routine
create | general | Design a poison-ivy removal plan
create | general | Design an allergy-friendly yard plan
create | general | Design a kid-safe yard audit
create | general | Design a dog-proof garden layout
create | general | Design a chicken-predator defense plan
create | general | Design a beehive placement plan
create | general | Design a rain-garden plan
create | general | Design a pollinator strip
create | general | Design a compost-tea routine

# == IMPROVE == (upgrade and optimize)
improve | auto | Improve night visibility: restore cloudy headlights
improve | electrical | Find what's overloading a circuit
improve | electrical | Retire a damaged extension cord safely
improve | general | Hone a dull knife with no stone
improve | plumbing | Improve weak shower pressure: find the restriction
improve | home | Improve attic insulation without a full re-do
improve | home | Improve drafty windows with weatherstripping
improve | home | Improve a hollow-core door's sound blocking
improve | home | Improve closet lighting with stick-on LEDs
improve | home | Improve kitchen drawer organization
improve | home | Improve under-sink storage
improve | home | Improve pantry visibility and access
improve | home | Improve bathroom ventilation
improve | home | Improve shower water efficiency
improve | home | Improve toilet flush performance
improve | home | Improve faucet flow with aerator swaps
improve | home | Improve water heater efficiency with a blanket
improve | home | Improve water heater recovery with sediment flush
improve | home | Improve dryer efficiency by cleaning the vent run
improve | home | Improve refrigerator efficiency with coil cleaning
improve | home | Improve oven accuracy with calibration
improve | home | Improve dishwasher cleaning with filter maintenance
improve | home | Improve washing-machine balance and noise
improve | home | Improve HVAC airflow with register tuning
improve | home | Improve thermostat placement and programming
improve | home | Improve furnace filter discipline
improve | home | Improve ceiling-fan direction for seasons
improve | home | Improve room acoustics with soft furnishings
improve | home | Improve TV sound with placement tweaks
improve | home | Improve Wi-Fi with router repositioning
improve | home | Improve home-office ergonomics cheaply
improve | home | Improve desk lighting to cut eye strain
improve | home | Improve chair comfort without buying new
improve | home | Improve sleep with blackout and white noise
improve | home | Improve a mattress with a topper
improve | home | Improve pillow support for your sleep position
improve | home | Improve entryway shoe and coat flow
improve | home | Improve garage parking precision
improve | home | Improve garage lighting for work
improve | home | Improve workshop dust control
improve | home | Improve tool accessibility with French cleats
improve | home | Improve ladder safety with standoff habits
improve | home | Improve paint durability with proper prep
improve | home | Improve caulk lines with taping technique
improve | home | Improve drywall patches to invisible
improve | home | Improve trim joints with coping
improve | home | Improve stair safety with contrast nosing
improve | home | Improve handrail grip and mounting
improve | home | Improve doorbell audibility
improve | home | Improve deadbolt alignment
improve | home | Improve window locks for security
improve | home | Improve sliding-door security
improve | home | Improve garage-door opener reliability
improve | home | Improve outdoor lighting for safety
improve | home | Improve walkway lighting without wiring
improve | home | Improve mailbox visibility
improve | home | Improve house numbers for emergency findability
improve | home | Improve lawn health with overseeding
improve | home | Improve soil with topdressing
improve | home | Improve garden yields with succession planting
improve | home | Improve tomato support systems
improve | home | Improve irrigation with drip conversion
improve | home | Improve rain-barrel output pressure
improve | home | Improve compost speed with browns-greens balance
improve | home | Improve fire-pit seating comfort
improve | home | Improve grill performance with deep cleaning
improve | home | Improve smoker temperature control
improve | home | Improve patio drainage grading
improve | home | Improve fence longevity with post treatment
improve | home | Improve gate latching in all seasons
improve | home | Improve shed organization vertically
improve | home | Improve bike shifting with cable tuning
improve | home | Improve bike braking with pad alignment
improve | home | Improve bike fit for comfort
improve | home | Improve tire life with rotation and pressure
improve | home | Improve knife sharpness with a honing routine
improve | home | Improve scissor cutting with tension adjustment
improve | home | Improve hand-saw cutting with set and sharpen
improve | home | Improve drill-bit life with proper speed
improve | home | Improve sanding results with grit progression
improve | home | Improve glue joints with surface prep
improve | home | Improve screw holding with pilot holes
improve | home | Improve paint adhesion on slick surfaces
improve | home | Improve stain evenness with conditioner
improve | home | Improve varnish finish with thin coats
improve | home | Improve concrete patch bonding
improve | home | Improve asphalt crack sealing
improve | home | Improve paver stability with polymeric sand
improve | auto | Improve fuel economy with driving habits
improve | auto | Improve tire life with alignment checks
improve | auto | Improve braking with fluid flush intervals
improve | auto | Improve visibility with wiper and washer care
improve | auto | Improve night driving with headlight aim
improve | auto | Improve cabin air with filter changes
improve | auto | Improve AC cooling with condenser cleaning
improve | auto | Improve battery life with terminal care
improve | auto | Improve engine warm-up habits
improve | auto | Improve oil life with driving patterns
improve | auto | Improve transmission life with fluid discipline
improve | auto | Improve coolant system with flush intervals
improve | auto | Improve power steering with fluid checks
improve | auto | Improve ride quality with shock inspection
improve | auto | Improve handling with tire pressure tuning
improve | auto | Improve trailer towing safety setup
improve | auto | Improve roof-rack fuel penalty
improve | auto | Improve car organization for road trips
improve | auto | Improve emergency kit for your vehicle
improve | auto | Improve winter driving preparedness
improve | auto | Improve summer heat car care
improve | auto | Improve paint protection with wash technique
improve | auto | Improve interior detailing order of operations
improve | auto | Improve odor removal from a car
improve | auto | Improve headliner sag with adhesive repair
improve | auto | Improve door seal wind noise
improve | auto | Improve key-fob battery replacement
improve | auto | Improve spark-plug change intervals
improve | plumbing | Improve water pressure at a single fixture
improve | plumbing | Improve drain speed with vent checks
improve | plumbing | Improve toilet refill speed
improve | plumbing | Improve garbage-disposal performance
improve | electrical | Improve outlet safety with tamper-resistant swaps
improve | electrical | Improve lighting with dimmer selection
improve | electrical | Improve smoke-detector coverage and placement
improve | electrical | Improve CO-detector placement
improve | electrical | Improve surge protection for electronics
improve | outdoor | Improve backpack fit and packing
improve | outdoor | Improve tent pitching for wind
improve | outdoor | Improve sleeping warmth with pad layering
improve | outdoor | Improve camp-kitchen efficiency
improve | outdoor | Improve water-carry planning
improve | outdoor | Improve navigation with map and compass basics
improve | outdoor | Improve knot repertoire for camp
improve | fasteners | Improve bolted-joint reliability with torque sequence
improve | fasteners | Improve thread life with anti-seize use

# == RESTORE == (repair and refurbish)
restore | auto | Change a tire with no breaker bar (cheater pipe)
restore | auto | Remove a stuck oil filter without a filter wrench
restore | auto | Pop a hood with a broken release cable
restore | auto | Temporary repair of a split radiator hose
restore | auto | Replace a wiper blade with no tools
restore | auto | Find a slow tire leak with soapy water
restore | auto | Remove a stripped lug nut
restore | auto | Clean and tighten corroded battery terminals
restore | electrical | Find and reset a tripped breaker safely
restore | electrical | Confirm a circuit is dead before touching anything
restore | electrical | Replace a switch or outlet cover plate safely
restore | electrical | Triage a lamp that won't turn on
restore | fasteners | Remove a stripped Phillips screw
restore | fasteners | Remove a rounded hex/Allen bolt
restore | fasteners | Back out a broken bolt stub
restore | fasteners | Remove a rusted nut without penetrating oil
restore | fasteners | Drive a screw with no matching driver
restore | fasteners | Remove a one-way security screw
restore | fasteners | Free a seized machine screw with heat
restore | fasteners | Remove a stripped Torx screw
restore | fasteners | Tighten a spinning nut in a blind cavity
restore | fasteners | Extract a screw with a broken-off head
restore | foundations | Friction, torque, and why stuck things stick
restore | home | Patch a small drywall hole without a patch kit
restore | home | Fix a door that drags on the floor
restore | home | Fix a door that won't latch
restore | home | Silence a squeaky floorboard
restore | home | Fix a stripped screw hole in wood
restore | home | Open a window painted shut
restore | home | Fix a wobbly chair or table leg
restore | home | Reattach a loose cabinet hinge
restore | home | Patch a torn window screen
restore | home | Remove old caulk without a caulk tool
restore | home | Free a stuck wooden drawer
restore | home | Hang a heavy picture with no stud finder
restore | outdoor | Splint a broken tent pole in the field
restore | outdoor | Field-repair a torn pack strap
restore | plumbing | Remove a bathtub spout without a strap wrench
restore | plumbing | Loosen a corroded outdoor hose bibb
restore | plumbing | Remove a stuck showerhead without scratching it
restore | plumbing | Stop a running toilet with no parts on hand
restore | plumbing | Unclog a sink drain without a plumber's snake
restore | plumbing | Clean a mineral-clogged faucet aerator
restore | plumbing | Stop a leak at a sink P-trap slip joint
restore | plumbing | Remove a stuck drain cleanout plug
restore | plumbing | Free a seized toilet/sink angle-stop valve
restore | plumbing | Quiet water hammer banging in pipes
restore | plumbing | Remove a tub drain without a drain key
restore | plumbing | Temporarily patch a pinhole leak in copper pipe
restore | plumbing | Replace a faucet cartridge
restore | plumbing | Replace a toilet fill valve
restore | plumbing | Replace a toilet flapper and chain
restore | plumbing | Reseat a running toilet tank bolts
restore | plumbing | Replace a wax ring on a toilet
restore | plumbing | Fix a leaking shower arm
restore | plumbing | Replace a shower diverter
restore | plumbing | Fix a dripping tub faucet
restore | plumbing | Replace a sink basket strainer
restore | plumbing | Reseal a sink rim with silicone
restore | plumbing | Replace a garbage disposal
restore | plumbing | Clear a dishwasher drain blockage
restore | plumbing | Replace a dishwasher inlet valve
restore | plumbing | Fix a leaking washing-machine hose
restore | plumbing | Replace washing-machine inlet screens
restore | plumbing | Clear a washing-machine drain pump filter
restore | plumbing | Replace a water heater element
restore | plumbing | Replace a water heater thermostat
restore | plumbing | Flush sediment from a water heater
restore | plumbing | Replace a T&P relief valve
restore | plumbing | Fix a leaking water heater drain valve
restore | plumbing | Replace a sump pump
restore | plumbing | Replace a sump pump check valve
restore | plumbing | Clear a condensate drain line
restore | plumbing | Replace a hose bibb vacuum breaker
restore | plumbing | Fix a frost-free sillcock leak
restore | plumbing | Repair a burst pipe with a coupling
restore | plumbing | Replace a section of copper pipe
restore | plumbing | Transition copper to PEX
restore | plumbing | Fix a leaking PEX crimp ring
restore | plumbing | Replace a CPVC section
restore | plumbing | Repair a cracked PVC drain pipe
restore | plumbing | Replace a toilet supply line
restore | plumbing | Replace faucet supply lines
restore | plumbing | Fix a leaking shutoff valve packing
restore | plumbing | Replace an angle stop
restore | plumbing | Fix a shower valve leak behind the wall
restore | plumbing | Replace a tub spout diverter
restore | plumbing | Re-caulk a tub surround
restore | plumbing | Fix a leaking sink trap
restore | plumbing | Replace a pop-up drain assembly
restore | plumbing | Clear a main sewer cleanout
restore | plumbing | Replace a floor drain cover
restore | plumbing | Fix a leaking outdoor faucet handle
restore | plumbing | Winterize outdoor spigots
restore | plumbing | Thaw a frozen pipe safely
restore | plumbing | Insulate exposed pipes
restore | fasteners | Remove a broken drill bit from a hole
restore | fasteners | Remove a stripped Allen screw from a bike
restore | fasteners | Remove a rusted exhaust bolt
restore | fasteners | Free a seized spark plug
restore | fasteners | Remove a stripped oil drain plug
restore | fasteners | Extract a broken tap from a hole
restore | fasteners | Remove a sheared wheel stud
restore | fasteners | Free a corroded battery hold-down bolt
restore | fasteners | Remove a stripped brake caliper bolt
restore | fasteners | Back out a snapped easy-out
restore | fasteners | Remove a stripped scope-mount screw
restore | fasteners | Free a seized vise screw
restore | fasteners | Remove a rusted license-plate screw
restore | fasteners | Extract a broken screw from a hinge
restore | fasteners | Remove a stripped set screw from a doorknob
restore | fasteners | Free a seized chuck key
restore | fasteners | Remove a stripped hex on a faucet handle
restore | fasteners | Back out a broken bolt in an engine block
restore | fasteners | Remove a corroded flange bolt
restore | fasteners | Free a seized turnbuckle
restore | fasteners | Remove a stripped screw from a laptop
restore | fasteners | Remove a stripped phone screw
restore | fasteners | Free a seized bike pedal
restore | fasteners | Remove a rounded crank bolt
restore | fasteners | Extract a broken spoke nipple
restore | fasteners | Remove a seized seatpost
restore | fasteners | Free a rusted chainring bolt
restore | home | Repair a hole in drywall larger than 6 inches
restore | home | Fix a cracked drywall seam
restore | home | Repair water-damaged drywall
restore | home | Fix a nail pop
restore | home | Repair plaster cracks
restore | home | Reattach loose plaster with adhesive
restore | home | Fix a squeaky stair tread
restore | home | Repair a broken stair baluster
restore | home | Fix a wobbly newel post
restore | home | Repair a scratched hardwood floor
restore | home | Fix a gouge in hardwood
restore | home | Repair a squeaky hardwood floor from above
restore | home | Fix a lifting vinyl plank
restore | home | Repair a torn vinyl floor patch
restore | home | Fix a cracked tile without replacing
restore | home | Replace a cracked floor tile
restore | home | Regrout a tile floor section
restore | home | Fix a loose toilet seat
restore | home | Fix a rocking toilet
restore | home | Repair a chipped bathtub with epoxy
restore | home | Fix a dripping shower head arm
restore | home | Repair a cracked sink
restore | home | Fix a slow bathroom fan
restore | home | Replace a bathroom exhaust fan
restore | home | Fix a non-latching interior door
restore | home | Repair a split door frame
restore | home | Fix a sticking sliding closet door
restore | home | Repair a pocket door off its track
restore | home | Fix a broken window crank
restore | home | Repair a rotted window sill
restore | home | Fix a fogged double-pane window temporarily
restore | home | Repair a torn window screen frame
restore | home | Fix a sticking storm window
restore | home | Repair a damaged door threshold
restore | home | Fix a drafty exterior door
restore | home | Repair a broken doorbell transformer
restore | home | Fix a sagging gate
restore | home | Repair a leaning fence post
restore | home | Fix a broken fence picket
restore | home | Repair a cracked concrete step
restore | home | Fix a spalling concrete patch
restore | home | Repair a leaning retaining wall cap
restore | home | Fix a clogged gutter downspout
restore | home | Repair a leaking gutter joint
restore | home | Fix a sagging gutter run
restore | home | Repair a damaged shingle tab
restore | home | Fix a leaking roof vent boot
restore | home | Repair a chimney flashing leak
restore | home | Fix a skylight leak
restore | home | Repair a rotted fascia board
restore | home | Fix a squirrel-chewed soffit
restore | home | Repair a damaged deck board
restore | home | Fix a wobbly deck railing
restore | home | Repair a popped deck nail strip
restore | home | Fix a sticking garage door
restore | home | Repair a broken garage door spring safely
restore | home | Fix a garage door opener sensor
restore | home | Repair a torn garage door seal
restore | home | Fix a drafty attic hatch
restore | home | Repair a whole-house fan belt
restore | home | Fix a noisy range hood
restore | home | Repair a microwave door latch
restore | home | Fix an oven door gasket
restore | home | Repair a refrigerator door seal
restore | home | Fix a dishwasher rack tine
restore | home | Repair a washing machine lid switch
restore | home | Fix a dryer drum belt
restore | home | Repair a dryer thermal fuse
restore | home | Fix a noisy dryer roller
restore | auto | Patch a tire puncture with a plug kit
restore | auto | Replace a serpentine belt
restore | auto | Replace brake pads
restore | auto | Replace brake rotors
restore | auto | Bleed brakes with a helper
restore | auto | Replace a brake caliper
restore | auto | Replace a wheel bearing hub
restore | auto | Replace a CV axle
restore | auto | Replace a tie rod end
restore | auto | Replace a ball joint
restore | auto | Replace struts
restore | auto | Replace a control arm
restore | auto | Replace an alternator
restore | auto | Replace a starter motor
restore | auto | Replace a water pump
restore | auto | Replace a thermostat
restore | auto | Replace radiator hoses
restore | auto | Flush coolant
restore | auto | Replace a radiator fan
restore | auto | Replace spark plugs
restore | auto | Replace ignition coils
restore | auto | Replace plug wires
restore | auto | Replace an oxygen sensor
restore | auto | Replace a mass airflow sensor
restore | auto | Clean a throttle body
restore | auto | Replace a fuel filter
restore | auto | Replace a fuel pump access-panel style
restore | auto | Replace an air filter
restore | auto | Replace a cabin air filter
restore | auto | Replace a PCV valve
restore | auto | Replace valve cover gasket
restore | auto | Replace an oil pan gasket
restore | auto | Replace a timing cover seal
restore | auto | Replace headlight bulbs
restore | auto | Replace taillight bulbs
restore | auto | Replace a blower motor
restore | auto | Replace a blower resistor
restore | auto | Recharge AC with a gauge kit
restore | auto | Replace a window regulator
restore | auto | Fix a power window off track
restore | auto | Replace a door handle
restore | auto | Fix a door latch cable
restore | auto | Replace side mirrors
restore | auto | Replace a windshield cowl seal
restore | auto | Fix a trunk latch
restore | auto | Replace hood struts
restore | auto | Fix a fuel door latch
restore | auto | Replace wiper arms
restore | auto | Fix a washer pump
restore | auto | Replace a horn
restore | auto | Fix a trailer wiring fault
restore | auto | Replace a trailer wheel bearing
restore | auto | Repack trailer bearings
restore | electrical | Replace a light switch
restore | electrical | Replace a 3-way switch
restore | electrical | Replace a dimmer switch
restore | electrical | Replace an outlet
restore | electrical | Replace a GFCI outlet
restore | electrical | Replace a ceiling light fixture
restore | electrical | Replace a ceiling fan
restore | electrical | Balance a wobbly ceiling fan
restore | electrical | Replace a doorbell button
restore | electrical | Replace a doorbell chime
restore | electrical | Replace a home thermostat (low-voltage)
restore | electrical | Replace a smoke detector
restore | electrical | Replace a CO detector battery and unit
restore | electrical | Fix an open-ground outlet
restore | electrical | Replace a broken outlet cover and box extender
restore | electrical | Replace a lamp socket
restore | electrical | Rewire a lamp cord
restore | electrical | Replace a plug end on a cord
restore | electrical | Fix a flickering fluorescent with ballast bypass LED
restore | electrical | Replace under-cabinet lighting
restore | outdoor | Repair a tent seam
restore | outdoor | Patch a sleeping pad
restore | outdoor | Fix a broken backpack buckle
restore | outdoor | Repair a hiking boot sole
restore | outdoor | Fix a trekking pole lock
restore | outdoor | Repair a camp stove pump
restore | outdoor | Clean a clogged stove jet
restore | outdoor | Patch a dry bag
restore | outdoor | Fix a cooler latch
restore | outdoor | Repair a camp chair frame
restore | outdoor | Re-waterproof a jacket
restore | outdoor | Fix a zipper that splits
restore | outdoor | Repair a down jacket tear
restore | appliances | Replace a refrigerator water filter
restore | appliances | Fix an ice maker that quit
restore | appliances | Replace a dishwasher spray arm
restore | appliances | Fix an oven igniter
restore | appliances | Replace a dryer heating element
restore | appliances | Fix a washer that won't drain
restore | appliances | Replace a garbage disposal splash guard

# == COMBINE == (hybridize and repurpose parts and ideas)
combine | general | Combine scrap parts into a shop organizer
combine | home | Turn pallets into a compost bin
combine | home | Turn an old door into a table
combine | home | Turn drawers into under-bed storage
combine | home | Turn a ladder into a bookshelf
combine | home | Turn crates into modular shelving
combine | home | Turn a dresser into a bathroom vanity
combine | home | Turn a crib into a desk
combine | home | Turn shutters into a room divider
combine | home | Turn windows into a greenhouse wall
combine | home | Turn a piano into a bar
combine | home | Turn a bathtub into a garden planter
combine | home | Turn tires into planters
combine | home | Turn barrels into rain barrels
combine | home | Turn a trash can into a compost tumbler
combine | home | Turn gutters into vertical planters
combine | home | Turn PVC pipe into a greenhouse frame
combine | home | Turn PVC into a garden irrigation grid
combine | home | Turn PVC into a bike rack
combine | home | Turn PVC into a kayak cart
combine | home | Turn conduit into a closet rod system
combine | home | Turn angle iron into a welding table
combine | home | Turn a filing cabinet into a garage organizer
combine | home | Turn a toolbox into a tackle station
combine | home | Turn ammo cans into waterproof storage
combine | home | Turn a cooler into a bait tank
combine | home | Turn a freezer into a kegerator
combine | home | Turn a fridge into a smoker
combine | home | Turn a dishwasher into a parts washer
combine | home | Turn a washing machine drum into a fire pit
combine | home | Turn a dryer drum into a compost tumbler
combine | home | Turn an engine block into a table base
combine | home | Turn leaf springs into knives
combine | home | Turn a truck bed into a trailer
combine | home | Turn a van into a camper
combine | home | Turn a bus into a tiny home shell
combine | home | Turn a shipping container into a workshop
combine | home | Turn a shed into an office
combine | home | Turn a garage into a gym
combine | home | Turn a basement into a rental-ready space plan
combine | home | Turn an attic into storage with flooring
combine | home | Turn a closet into a pantry
combine | home | Turn a pantry into a laundry room
combine | home | Turn a laundry room into a mudroom combo
combine | home | Turn a spare room into a home theater
combine | home | Turn a corner into a reading nook
combine | home | Turn a hallway into a gallery
combine | home | Turn stairs into drawers
combine | home | Turn dead space into a charging station
combine | home | Turn a fireplace into a bookshelf nook
combine | home | Turn a dumbwaiter shaft into a laundry chute
combine | home | Turn old jeans into a quilt
combine | home | Turn t-shirts into a rug
combine | home | Turn sweaters into mittens
combine | home | Turn curtains into drop cloths
combine | home | Turn sheets into a projector screen
combine | home | Turn a shower curtain into a greenhouse cover
combine | home | Turn tarps into a carport
combine | home | Turn billboard vinyl into a pond liner
combine | home | Turn pallets into a fence
combine | home | Turn pallets into a deck
combine | home | Turn pallets into a chicken coop
combine | home | Turn pallets into a rabbit hutch
combine | home | Turn pallets into a workbench
combine | home | Turn pallets into outdoor furniture
combine | home | Turn cable spools into tables
combine | home | Turn wire spools into chairs
combine | home | Turn concrete blocks into a fire pit
combine | home | Turn concrete blocks into raised beds
combine | home | Turn concrete blocks into a grill station
combine | home | Turn bricks into a walkway
combine | home | Turn broken concrete into a retaining wall
combine | home | Turn gravel and sand into a French drain
combine | home | Turn a hill into terraced beds
combine | home | Turn a slope into a rock garden
combine | home | Turn a wet spot into a rain garden
combine | home | Turn a stump into a planter
combine | home | Turn logs into a bench
combine | home | Turn a fallen tree into lumber with a chainsaw mill
combine | home | Turn branches into a trellis
combine | home | Turn brush into hugelkultur beds
combine | home | Turn leaves into leaf mold
combine | home | Turn grass clippings into mulch
combine | home | Turn wood chips into paths
combine | home | Turn sawdust into a compost booster
combine | home | Turn ashes into garden amendment
combine | home | Turn coffee grounds into fertilizer
combine | home | Turn eggshells into slug defense
combine | auto | Turn a parts car into a donor strategy
combine | outdoor | Turn a tarp and cord into a shelter system
combine | outdoor | Turn a poncho into a hammock rainfly
combine | general | Turn scrap wire into hooks and hangers
combine | general | Turn old hoses into garden soakers
combine | general | Turn bicycle tubes into tie-downs
combine | general | Turn inner tubes into ranger bands
combine | general | Turn paracord into a belt
